track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1vvNmPOiUuyCbgWmtc6yfm,My Way,7CajNmpbOovFoOoasH2HaY,Calvin Harris,0dzeoQhVNzKkwM5ieOJC54,219159,2016-09-16,76,0.818,0.913,4,-3.06,0,0.0426,0.093,3.69e-05,0.161,0.536,119.986
1qOLh0tI7trd1zdDKxYZTe,Starving,5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,3Nuw6arrA8kVwhIvyGbiku,181880,2016-07-15,0,0.636,0.633,4,-4.23,1,0.126,0.371,0.0,0.102,0.512,99.721
1PSBzsahR2AKwLJgx8ehBj,Bad Things (with Camila Cabello),6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,3yWRq9Dd2UO5xyqxTjLDmp,239293,2017-05-12,73,0.697,0.691,2,-4.757,1,0.146,0.214,0.0,0.185,0.305,137.853
6i0V12jOa3mr6uu4WYhUBr,Heathens,3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,3J8W9AOjQhnBLCX33m3atT,195920,2016-06-16,82,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024
27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,5WUlDfRSoLAfcVSX1WnrxN,Sia,77jAfTh3KH9K2reMOmTgOh,211666,2016-01-29,78,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976
2rizacJSyD9S1IQUxUxnsK,All We Know,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,0xmaV6EtJ4M3ebZUPRnhyb,194080,2016-09-29,70,0.662,0.586,0,-8.821,1,0.0307,0.097,0.00272,0.115,0.296,90.0
4TZy1wLyHec06pwgFYDh1a,Mercy,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,6FLZDJq4UuwqcaQlI4XCP1,208733,2017-03-03,0,0.469,0.68,11,-4.921,0,0.117,0.137,0.0,0.11,0.374,147.734
3AEZUABDXNtecAOSC1qTfo,Reggaetón Lento (Bailemos),0eecdvMrqBftK0M1VKhaF4,CNCO,0YLrAWUbY0nyM7PFtqnYld,222560,2016-08-26,73,0.761,0.838,4,-3.073,0,0.0502,0.4,0.0,0.176,0.71,93.974
7yyRTcZmCiyzzJlNzGC9Ol,Broccoli (feat. Lil Yachty),5M0lbkGluOPXLeFjApw8r8,DRAM,0NrZHZ0y5kTO8EHliuUUca,225205,2016-10-21,63,0.886,0.525,8,-7.39,1,0.131,0.236,0.0,0.057,0.708,145.99
17Fd6Yb7mSbinKG8LoWfFl,I Took A Pill In Ibiza - Seeb Remix,2KsP6tYLJlTBvSUxnwlVWa,Mike Posner,3teu4biw5zhcN7QgjmKzGS,197933,2016-05-06,0,0.663,0.713,7,-6.647,0,0.112,0.0353,7.68e-06,0.0843,0.69,101.965
